State,Rank,Score
Maryland,"
	1","
75.76"
Washington,"
	2","
67.79"
Massachusetts,"
	3","
67.48"
Colorado,"
	4","
65.94"
Delaware,"
	5","
63.47"
California,"
	6","
61.47"
Minnesota,"
	7","
58.43"
Virginia,"
	8","
55.70"
Utah,"
	9","
55.47"
Oregon,"
	10","
54.90"
New Hampshire,"
	11","
54.45"
Idaho,"
	12","
53.76"
Alaska,"
	13","
52.70"
Arizona,"
	14","
52.22"
Pennsylvania,"
	15","
51.16"
Vermont,"
	16","
50.15"
Texas,"
	17","
49.81"
Connecticut,"
	18","
49.50"
North Carolina,"
	19","
49.40"
New Jersey,"
	20","
49.18"
Rhode Island,"
	21","
49.01"
New Mexico,"
	22","
48.41"
Ohio,"
	23","
48.15"
Montana,"
	24","
46.72"
Wyoming,"
	25","
46.62"
Illinois,"
	26","
46.41"
Missouri,"
	27","
46.32"
Georgia,"
	28","
44.25"
Nebraska,"
	29","
43.83"
Wisconsin,"
	30","
43.76"
Michigan,"
	31","
43.51"
Kansas,"
	32","
43.17"
Alabama,"
	33","
42.36"
Hawaii,"
	34","
42.31"
North Dakota,"
	35","
41.20"
South Carolina,"
	36","
40.31"
South Dakota,"
	37","
40.23"
New York,"
	38","
39.83"
Maine,"
	39","
38.45"
Oklahoma,"
	40","
36.43"
Indiana,"
	41","
36.11"
Tennessee,"
	42","
35.37"
West Virginia,"
	43","
35.27"
Iowa,"
	44","
34.18"
Florida,"
	45","
33.11"
Arkansas,"
	46","
31.23"
Kentucky,"
	47","
28.66"
Mississippi,"
	48","
27.09"
Louisiana,"
	49","
26.42"
Nevada,"
	50","
25.86"
